iter,evals,f_best,f_mean,f_std,gbest_f
1,20,4.480563296802e+01,1.457530606487e+02,5.027467357502e+01,4.480563296802e+01
2,40,1.179535162124e+01,5.817238477361e+01,2.354828111972e+01,1.179535162124e+01
3,60,5.399065698033e+00,2.107360107532e+01,1.216180589201e+01,5.399065698033e+00
4,80,4.334428344564e+00,2.730133619551e+01,1.428881610651e+01,4.334428344564e+00
5,100,3.545306917736e+00,1.890292352078e+01,1.123342928034e+01,3.545306917736e+00
6,120,2.397104624249e+00,1.507515177050e+01,8.597387613746e+00,2.397104624249e+00
7,140,4.681159049507e+00,1.355853378425e+01,6.975223815357e+00,2.397104624249e+00
8,160,3.570486645643e+00,1.043186478853e+01,5.383722376501e+00,2.397104624249e+00
9,180,3.310587561010e+00,1.346154854341e+01,9.200630701203e+00,2.397104624249e+00
10,200,1.812977660967e+00,7.694640617167e+00,5.717302020743e+00,1.812977660967e+00
11,220,2.702624861747e+00,8.531389441108e+00,4.089196687840e+00,1.812977660967e+00
12,240,2.250094001823e+00,8.694553856246e+00,5.827635596588e+00,1.812977660967e+00
13,260,2.558090764592e+00,8.159810258707e+00,4.955126111880e+00,1.812977660967e+00
14,280,1.796270882261e+00,5.925589577252e+00,3.237030445671e+00,1.796270882261e+00
15,300,1.874212613449e+00,7.877599722392e+00,5.552142416311e+00,1.796270882261e+00
16,320,1.597618072391e+00,4.602751953549e+00,2.328186061961e+00,1.597618072391e+00
17,340,1.538745281668e+00,5.502495821879e+00,3.340521423821e+00,1.538745281668e+00
18,360,1.094374657152e+00,3.790699579185e+00,2.020205455529e+00,1.094374657152e+00
19,380,1.385414790856e+00,4.706850013030e+00,2.984473337694e+00,1.094374657152e+00
20,400,1.606183247152e+00,4.009145108400e+00,2.520002078889e+00,1.094374657152e+00
21,420,7.783249383631e-01,3.476355199577e+00,1.829311173248e+00,7.783249383631e-01
22,440,1.498438368256e+00,4.232407402341e+00,2.038204158353e+00,7.783249383631e-01
23,460,1.085076158992e+00,4.766675489152e+00,3.654776707259e+00,7.783249383631e-01
24,480,1.052969497819e+00,3.742585430850e+00,2.855755046309e+00,7.783249383631e-01
25,500,1.131391343624e+00,3.491825843802e+00,2.261835241073e+00,7.783249383631e-01
26,520,1.111110332018e+00,3.280446680993e+00,1.978424594514e+00,7.783249383631e-01
27,540,1.248382890335e+00,3.307280481494e+00,2.249464229682e+00,7.783249383631e-01
28,560,1.197943726918e+00,3.291528964623e+00,2.086809971700e+00,7.783249383631e-01
29,580,7.268779832765e-01,3.053559284776e+00,1.575893419437e+00,7.268779832765e-01
30,600,1.054731689881e+00,2.430202653606e+00,1.470352313704e+00,7.268779832765e-01
31,620,6.903669667886e-01,2.219930442664e+00,1.479591869900e+00,6.903669667886e-01
32,640,1.092633414416e+00,2.224296881706e+00,1.260006396669e+00,6.903669667886e-01
33,660,8.946758236984e-01,2.094975466315e+00,9.804871900008e-01,6.903669667886e-01
34,680,1.137129649963e+00,2.469808778820e+00,2.794917332706e+00,6.903669667886e-01
35,700,9.081798737278e-01,2.448520030854e+00,2.581502799755e+00,6.903669667886e-01
36,720,1.000423426408e+00,1.689305450621e+00,7.749542097575e-01,6.903669667886e-01
37,740,8.258182485687e-01,2.446312672987e+00,2.275499369952e+00,6.903669667886e-01
38,760,8.605439945833e-01,1.770303234494e+00,8.453782279963e-01,6.903669667886e-01
39,780,8.037197074224e-01,2.286629316544e+00,1.774023622665e+00,6.903669667886e-01
40,800,8.569470377772e-01,2.428159320160e+00,3.121303442309e+00,6.903669667886e-01
41,820,9.831635312071e-01,2.097342859641e+00,2.011598962481e+00,6.903669667886e-01
42,840,3.098220052239e-01,1.839014339584e+00,1.384510031459e+00,3.098220052239e-01
43,860,6.185643636382e-01,1.873861410892e+00,1.168070733646e+00,3.098220052239e-01
44,880,9.475095914454e-01,1.818465150463e+00,1.028051794283e+00,3.098220052239e-01
45,900,2.553990132374e-01,2.095933389406e+00,1.713726361838e+00,2.553990132374e-01
46,920,6.379195621149e-01,2.105264949820e+00,2.057671644592e+00,2.553990132374e-01
47,940,5.344517694100e-01,1.470763253136e+00,4.705453209483e-01,2.553990132374e-01
48,960,8.541815842834e-01,1.978854176562e+00,1.482488665517e+00,2.553990132374e-01
49,980,4.860224384454e-01,2.007307873437e+00,1.437725168042e+00,2.553990132374e-01
50,1000,8.771273829974e-01,1.618712024509e+00,8.294422914972e-01,2.553990132374e-01
