iter,evals,f_best,f_mean,f_std,gbest_f,x_best
1,40,-1.985130000000e+00,9.051795750000e+00,3.971352477963e+00,-1.985130000000e+00,"[np.float64(0.08418931283543679), np.float64(0.3265241093544194), np.float64(0.46080100959849896), np.float64(-0.10411878295318042), np.float64(0.20118792470067393), np.float64(0.239092844696852)]"
2,80,-3.160920000000e+00,6.153549000000e+00,5.316003738671e+00,-3.160920000000e+00,"[np.float64(-0.007023305458777721), np.float64(0.3057098736810294), np.float64(0.4534853192333373), np.float64(-0.04087099674927656), np.float64(0.3530102076463732), np.float64(0.1411892545383181)]"
3,120,-3.160920000000e+00,1.548899500000e+00,4.719452475621e+00,-3.160920000000e+00,"[np.float64(-0.007023305458777721), np.float64(0.3057098736810294), np.float64(0.4534853192333373), np.float64(-0.04087099674927656), np.float64(0.3530102076463732), np.float64(0.1411892545383181)]"
4,160,-1.290020000000e+01,-1.419075500000e+00,3.235288699731e+00,-1.290020000000e+01,"[np.float64(0.01621343482511738), np.float64(0.2821298537843295), np.float64(0.4437744502084465), np.float64(-0.03765750648664257), np.float64(0.32318912139964123), np.float64(0.11678299409835534)]"
5,200,-2.480166000000e+01,-1.837619000000e+00,8.903228365830e+00,-2.480166000000e+01,"[np.float64(0.012126173580126647), np.float64(0.2971186821265221), np.float64(0.45582855595436067), np.float64(-0.03181453505926617), np.float64(0.31328936457917483), np.float64(0.14144093132828073)]"
6,240,-3.481676000000e+01,inf,nan,-3.481676000000e+01,"[np.float64(0.0034394762882211777), np.float64(0.29509252379654266), np.float64(0.45292900862115143), np.float64(-0.039424061987633235), np.float64(0.33958269961185616), np.float64(0.13019987422404372)]"
7,280,-1.142576800000e+02,-1.252066975000e+01,2.459604537373e+01,-1.142576800000e+02,"[np.float64(0.022347644607283834), np.float64(0.3164383301009968), np.float64(0.4541501183361563), np.float64(-0.020830242981011056), np.float64(0.3101689957717306), np.float64(0.15385597977540344)]"
8,320,-1.371448600000e+02,-2.582793375000e+01,3.872373602554e+01,-1.371448600000e+02,"[np.float64(0.014201557245170308), np.float64(0.2990918475169244), np.float64(0.4208118574044266), np.float64(-0.02883916191977255), np.float64(0.31209881831864134), np.float64(0.14930112085804778)]"
9,360,-1.371448600000e+02,-2.599012675000e+01,3.834115578987e+01,-1.371448600000e+02,"[np.float64(0.014201557245170308), np.float64(0.2990918475169244), np.float64(0.4208118574044266), np.float64(-0.02883916191977255), np.float64(0.31209881831864134), np.float64(0.14930112085804778)]"
10,400,-1.466024800000e+02,-1.072435025000e+01,8.166875296947e+01,-1.466024800000e+02,"[np.float64(-0.004390922227905806), np.float64(0.31865139755327265), np.float64(0.44132771591893), np.float64(-0.037839041335308916), np.float64(0.33111682799674236), np.float64(0.028746602293871104)]"
11,440,-1.536584100000e+02,-3.915000250000e+01,4.820734153599e+01,-1.536584100000e+02,"[np.float64(-0.020757114838227383), np.float64(0.30312921550257593), np.float64(0.4478383259589255), np.float64(-0.04807466349513349), np.float64(0.2881693916272838), np.float64(0.14024044453170287)]"
12,480,-2.435049900000e+02,inf,nan,-2.435049900000e+02,"[np.float64(-0.005302439001969828), np.float64(0.3181903440755119), np.float64(0.44346864386429796), np.float64(-0.03837093172197461), np.float64(0.33429732532070483), np.float64(0.049231124468110544)]"
13,520,-4.478258800000e+02,-7.073850050000e+01,9.612695727124e+01,-4.478258800000e+02,"[np.float64(-0.014643230671001374), np.float64(0.30892780441938383), np.float64(0.4454061710533669), np.float64(-0.0442509636429643), np.float64(0.1131878663684879), np.float64(0.09858992427745784)]"
14,560,-4.478258800000e+02,-5.851388525000e+01,1.082707441490e+02,-4.478258800000e+02,"[np.float64(-0.014643230671001374), np.float64(0.30892780441938383), np.float64(0.4454061710533669), np.float64(-0.0442509636429643), np.float64(0.1131878663684879), np.float64(0.09858992427745784)]"
15,600,-4.644816000000e+02,-6.021297900000e+01,1.172034516443e+02,-4.644816000000e+02,"[np.float64(-0.011127734663161162), np.float64(0.3122963970705945), np.float64(0.4441592673428524), np.float64(-0.0420490734280486), np.float64(0.1898380448532653), np.float64(0.0628993133919671)]"
16,640,-4.644816000000e+02,-6.887042575000e+01,1.157423242982e+02,-4.644816000000e+02,"[np.float64(-0.011127734663161162), np.float64(0.3122963970705945), np.float64(0.4441592673428524), np.float64(-0.0420490734280486), np.float64(0.1898380448532653), np.float64(0.0628993133919671)]"
17,680,-4.644816000000e+02,-8.829869975000e+01,1.300331849124e+02,-4.644816000000e+02,"[np.float64(-0.011127734663161162), np.float64(0.3122963970705945), np.float64(0.4441592673428524), np.float64(-0.0420490734280486), np.float64(0.1898380448532653), np.float64(0.0628993133919671)]"
18,720,-4.644816000000e+02,-8.363957700000e+01,1.473451234874e+02,-4.644816000000e+02,"[np.float64(-0.011127734663161162), np.float64(0.3122963970705945), np.float64(0.4441592673428524), np.float64(-0.0420490734280486), np.float64(0.1898380448532653), np.float64(0.0628993133919671)]"
19,760,-4.917841600000e+02,-1.108445070000e+02,1.767432501491e+02,-4.917841600000e+02,"[np.float64(-0.005233391710697777), np.float64(0.31783636491484696), np.float64(0.4972334689430625), np.float64(-0.03838174831679755), np.float64(0.24168599534659307), np.float64(-0.2)]"
20,800,-4.917841600000e+02,-1.525713127500e+02,1.716179053864e+02,-4.917841600000e+02,"[np.float64(-0.005233391710697777), np.float64(0.31783636491484696), np.float64(0.4972334689430625), np.float64(-0.03838174831679755), np.float64(0.24168599534659307), np.float64(-0.2)]"
21,840,-5.014826400000e+02,-1.371379795000e+02,1.714121231601e+02,-5.014826400000e+02,"[np.float64(-0.006547368562744729), np.float64(0.3166100759392998), np.float64(0.48602372330045973), np.float64(-0.03919541591604937), np.float64(0.2456090093617118), np.float64(-0.12861459684842586)]"
22,880,-5.098490500000e+02,-1.784029382500e+02,2.079970841639e+02,-5.098490500000e+02,"[np.float64(-0.005308604242963974), np.float64(0.31775945501523717), np.float64(0.4959801445600579), np.float64(-0.038431277021943405), np.float64(0.24455317955326086), np.float64(-0.18338822681459957)]"
23,920,-5.098490500000e+02,-1.710607457500e+02,1.907769714252e+02,-5.098490500000e+02,"[np.float64(-0.005308604242963974), np.float64(0.31775945501523717), np.float64(0.4959801445600579), np.float64(-0.038431277021943405), np.float64(0.24455317955326086), np.float64(-0.18338822681459957)]"
24,960,-5.098490500000e+02,-1.938192425000e+02,2.642030169184e+02,-5.098490500000e+02,"[np.float64(-0.005308604242963974), np.float64(0.31775945501523717), np.float64(0.4959801445600579), np.float64(-0.038431277021943405), np.float64(0.24455317955326086), np.float64(-0.18338822681459957)]"
25,1000,-5.098490500000e+02,-2.752069632500e+02,1.909822443398e+02,-5.098490500000e+02,"[np.float64(-0.005308604242963974), np.float64(0.31775945501523717), np.float64(0.4959801445600579), np.float64(-0.038431277021943405), np.float64(0.24455317955326086), np.float64(-0.18338822681459957)]"
26,1040,-5.177566000000e+02,-2.529896407500e+02,2.100263600074e+02,-5.177566000000e+02,"[np.float64(-0.006547368562744729), np.float64(0.3166100759392998), np.float64(0.4887741693916819), np.float64(-0.03919541591604937), np.float64(0.2456090093617118), np.float64(-0.12861459684842586)]"
27,1080,-5.177566000000e+02,-2.529375607500e+02,1.966888002670e+02,-5.177566000000e+02,"[np.float64(-0.006547368562744729), np.float64(0.3166100759392998), np.float64(0.4887741693916819), np.float64(-0.03919541591604937), np.float64(0.2456090093617118), np.float64(-0.12861459684842586)]"
28,1120,-5.177566000000e+02,-2.809478195000e+02,1.908076480954e+02,-5.177566000000e+02,"[np.float64(-0.006547368562744729), np.float64(0.3166100759392998), np.float64(0.4887741693916819), np.float64(-0.03919541591604937), np.float64(0.2456090093617118), np.float64(-0.12861459684842586)]"
29,1160,-5.177566000000e+02,-2.728891422500e+02,1.915307468421e+02,-5.177566000000e+02,"[np.float64(-0.006547368562744729), np.float64(0.3166100759392998), np.float64(0.4887741693916819), np.float64(-0.03919541591604937), np.float64(0.2456090093617118), np.float64(-0.12861459684842586)]"
30,1200,-5.177566000000e+02,-2.342701882500e+02,2.074993035708e+02,-5.177566000000e+02,"[np.float64(-0.006547368562744729), np.float64(0.3166100759392998), np.float64(0.4887741693916819), np.float64(-0.03919541591604937), np.float64(0.2456090093617118), np.float64(-0.12861459684842586)]"
31,1240,-5.177566000000e+02,-2.702968462500e+02,2.000595138030e+02,-5.177566000000e+02,"[np.float64(-0.006547368562744729), np.float64(0.3166100759392998), np.float64(0.4887741693916819), np.float64(-0.03919541591604937), np.float64(0.2456090093617118), np.float64(-0.12861459684842586)]"
32,1280,-5.177566000000e+02,-2.241109497500e+02,2.052314321388e+02,-5.177566000000e+02,"[np.float64(-0.006547368562744729), np.float64(0.3166100759392998), np.float64(0.4887741693916819), np.float64(-0.03919541591604937), np.float64(0.2456090093617118), np.float64(-0.12861459684842586)]"
33,1320,-5.177566000000e+02,-1.983663197500e+02,2.205260063438e+02,-5.177566000000e+02,"[np.float64(-0.006547368562744729), np.float64(0.3166100759392998), np.float64(0.4887741693916819), np.float64(-0.03919541591604937), np.float64(0.2456090093617118), np.float64(-0.12861459684842586)]"
34,1360,-5.177566000000e+02,-2.208809915000e+02,2.078189817134e+02,-5.177566000000e+02,"[np.float64(-0.006547368562744729), np.float64(0.3166100759392998), np.float64(0.4887741693916819), np.float64(-0.03919541591604937), np.float64(0.2456090093617118), np.float64(-0.12861459684842586)]"
35,1400,-5.177566000000e+02,-2.644967090000e+02,1.934564532316e+02,-5.177566000000e+02,"[np.float64(-0.006547368562744729), np.float64(0.3166100759392998), np.float64(0.4887741693916819), np.float64(-0.03919541591604937), np.float64(0.2456090093617118), np.float64(-0.12861459684842586)]"
36,1440,-5.177566000000e+02,-2.473437415000e+02,2.097644607339e+02,-5.177566000000e+02,"[np.float64(-0.006547368562744729), np.float64(0.3166100759392998), np.float64(0.4887741693916819), np.float64(-0.03919541591604937), np.float64(0.2456090093617118), np.float64(-0.12861459684842586)]"
37,1480,-5.177566000000e+02,-2.939121132500e+02,2.312652188037e+02,-5.177566000000e+02,"[np.float64(-0.006547368562744729), np.float64(0.3166100759392998), np.float64(0.4887741693916819), np.float64(-0.03919541591604937), np.float64(0.2456090093617118), np.float64(-0.12861459684842586)]"
38,1520,-5.177566000000e+02,-3.285050585000e+02,2.149380359576e+02,-5.177566000000e+02,"[np.float64(-0.006547368562744729), np.float64(0.3166100759392998), np.float64(0.4887741693916819), np.float64(-0.03919541591604937), np.float64(0.2456090093617118), np.float64(-0.12861459684842586)]"
39,1560,-5.177566000000e+02,-3.368843410000e+02,2.132114506881e+02,-5.177566000000e+02,"[np.float64(-0.006547368562744729), np.float64(0.3166100759392998), np.float64(0.4887741693916819), np.float64(-0.03919541591604937), np.float64(0.2456090093617118), np.float64(-0.12861459684842586)]"
40,1600,-5.177566000000e+02,-3.531146725000e+02,2.158437743026e+02,-5.177566000000e+02,"[np.float64(-0.006547368562744729), np.float64(0.3166100759392998), np.float64(0.4887741693916819), np.float64(-0.03919541591604937), np.float64(0.2456090093617118), np.float64(-0.12861459684842586)]"
41,1640,-5.177566000000e+02,-3.104755142500e+02,2.204752026427e+02,-5.177566000000e+02,"[np.float64(-0.006547368562744729), np.float64(0.3166100759392998), np.float64(0.4887741693916819), np.float64(-0.03919541591604937), np.float64(0.2456090093617118), np.float64(-0.12861459684842586)]"
42,1680,-5.177566000000e+02,-3.080945350000e+02,2.236499390549e+02,-5.177566000000e+02,"[np.float64(-0.006547368562744729), np.float64(0.3166100759392998), np.float64(0.4887741693916819), np.float64(-0.03919541591604937), np.float64(0.2456090093617118), np.float64(-0.12861459684842586)]"
43,1720,-5.177566000000e+02,-3.239989120000e+02,2.148288031505e+02,-5.177566000000e+02,"[np.float64(-0.006547368562744729), np.float64(0.3166100759392998), np.float64(0.4887741693916819), np.float64(-0.03919541591604937), np.float64(0.2456090093617118), np.float64(-0.12861459684842586)]"
