iter,evals,f_best,f_mean,f_std,gbest_f,x_best
1,40,-6.659460000000e+01,6.594122250000e+00,1.254820732381e+01,-6.659460000000e+01,"[np.float64(-0.05458984104517517), np.float64(0.4048075254540034), np.float64(0.26517063920393447), np.float64(-0.08072674553518344), np.float64(0.4711746028807254), np.float64(0.08111580214844294)]"
2,80,-1.691431000000e+01,6.377887750000e+00,6.320178145336e+00,-6.659460000000e+01,"[np.float64(-0.05458984104517517), np.float64(0.4048075254540034), np.float64(0.26517063920393447), np.float64(-0.08072674553518344), np.float64(0.4711746028807254), np.float64(0.08111580214844294)]"
3,120,-3.500532000000e+02,-4.723718250000e+00,5.588045309672e+01,-3.500532000000e+02,"[np.float64(-0.12094945257074441), np.float64(0.4461432023445295), np.float64(0.2947895989625344), np.float64(-0.2), np.float64(0.10047720315765987), np.float64(0.18180373398028554)]"
4,160,-4.594217900000e+02,-9.760331000000e+00,7.352715119386e+01,-4.594217900000e+02,"[np.float64(-0.12242081708273181), np.float64(0.44640828681467254), np.float64(0.31342394469580315), np.float64(-0.2), np.float64(0.22564004296948245), np.float64(0.07526845767178991)]"
5,200,-4.785517000000e+02,-2.199147975000e+01,9.873296128322e+01,-4.785517000000e+02,"[np.float64(-0.11161570867335342), np.float64(0.455840278827874), np.float64(0.29573309386762703), np.float64(-0.2), np.float64(0.1958494336544047), np.float64(0.1352527985865411)]"
6,240,-3.203103900000e+02,-6.853580250000e+00,5.262497058647e+01,-4.785517000000e+02,"[np.float64(-0.11161570867335342), np.float64(0.455840278827874), np.float64(0.29573309386762703), np.float64(-0.2), np.float64(0.1958494336544047), np.float64(0.1352527985865411)]"
7,280,-2.005927400000e+02,-1.037137475000e+01,4.419023264381e+01,-4.785517000000e+02,"[np.float64(-0.11161570867335342), np.float64(0.455840278827874), np.float64(0.29573309386762703), np.float64(-0.2), np.float64(0.1958494336544047), np.float64(0.1352527985865411)]"
8,320,-3.407697300000e+02,-1.228607550000e+01,5.911037683834e+01,-4.785517000000e+02,"[np.float64(-0.11161570867335342), np.float64(0.455840278827874), np.float64(0.29573309386762703), np.float64(-0.2), np.float64(0.1958494336544047), np.float64(0.1352527985865411)]"
9,360,-2.265190800000e+02,-1.384512475000e+01,4.743274557445e+01,-4.785517000000e+02,"[np.float64(-0.11161570867335342), np.float64(0.455840278827874), np.float64(0.29573309386762703), np.float64(-0.2), np.float64(0.1958494336544047), np.float64(0.1352527985865411)]"
10,400,-4.497942400000e+02,-3.774157775000e+01,1.060162502197e+02,-4.785517000000e+02,"[np.float64(-0.11161570867335342), np.float64(0.455840278827874), np.float64(0.29573309386762703), np.float64(-0.2), np.float64(0.1958494336544047), np.float64(0.1352527985865411)]"
11,440,-3.671472400000e+02,-2.318012725000e+01,6.771693890437e+01,-4.785517000000e+02,"[np.float64(-0.11161570867335342), np.float64(0.455840278827874), np.float64(0.29573309386762703), np.float64(-0.2), np.float64(0.1958494336544047), np.float64(0.1352527985865411)]"
12,480,-4.662609800000e+02,-2.732182675000e+01,1.404402884913e+02,-4.785517000000e+02,"[np.float64(-0.11161570867335342), np.float64(0.455840278827874), np.float64(0.29573309386762703), np.float64(-0.2), np.float64(0.1958494336544047), np.float64(0.1352527985865411)]"
13,520,-3.123192000000e+02,-3.451475500000e+00,1.067557747936e+02,-4.785517000000e+02,"[np.float64(-0.11161570867335342), np.float64(0.455840278827874), np.float64(0.29573309386762703), np.float64(-0.2), np.float64(0.1958494336544047), np.float64(0.1352527985865411)]"
14,560,-3.193144700000e+02,-3.359325100000e+01,8.569240088251e+01,-4.785517000000e+02,"[np.float64(-0.11161570867335342), np.float64(0.455840278827874), np.float64(0.29573309386762703), np.float64(-0.2), np.float64(0.1958494336544047), np.float64(0.1352527985865411)]"
15,600,-4.436505200000e+02,-3.141349725000e+01,8.297023453451e+01,-4.785517000000e+02,"[np.float64(-0.11161570867335342), np.float64(0.455840278827874), np.float64(0.29573309386762703), np.float64(-0.2), np.float64(0.1958494336544047), np.float64(0.1352527985865411)]"
16,640,-3.676789100000e+02,-1.959538675000e+01,6.330544314338e+01,-4.785517000000e+02,"[np.float64(-0.11161570867335342), np.float64(0.455840278827874), np.float64(0.29573309386762703), np.float64(-0.2), np.float64(0.1958494336544047), np.float64(0.1352527985865411)]"
17,680,-3.512740800000e+02,-2.823980475000e+01,7.947521145110e+01,-4.785517000000e+02,"[np.float64(-0.11161570867335342), np.float64(0.455840278827874), np.float64(0.29573309386762703), np.float64(-0.2), np.float64(0.1958494336544047), np.float64(0.1352527985865411)]"
18,720,-4.182918400000e+02,-1.703665600000e+01,1.620615849537e+02,-4.785517000000e+02,"[np.float64(-0.11161570867335342), np.float64(0.455840278827874), np.float64(0.29573309386762703), np.float64(-0.2), np.float64(0.1958494336544047), np.float64(0.1352527985865411)]"
19,760,-4.493312200000e+02,-4.573752100000e+01,1.088363203935e+02,-4.785517000000e+02,"[np.float64(-0.11161570867335342), np.float64(0.455840278827874), np.float64(0.29573309386762703), np.float64(-0.2), np.float64(0.1958494336544047), np.float64(0.1352527985865411)]"
