iter,evals,f_best,f_mean,f_std,gbest_f
1,40,-1.678390000000e+00,9.997595750000e+00,3.623145304019e+00,-1.678390000000e+00
2,80,-2.166160000000e+00,8.776808000000e+00,8.400248193964e+00,-2.166160000000e+00
3,120,-2.166500000000e+00,6.044139500000e+00,5.439968434451e+00,-2.166500000000e+00
4,160,-2.492760000000e+00,4.995824000000e+00,5.855140850792e+00,-2.492760000000e+00
5,200,-2.838740000000e+00,4.471854000000e+00,6.112231458704e+00,-2.838740000000e+00
6,240,-3.172740000000e+00,2.537606250000e+00,6.127449941054e+00,-3.172740000000e+00
7,280,-3.418410000000e+00,1.309021250000e+00,6.044765459938e+00,-3.418410000000e+00
8,320,-3.596780000000e+00,1.048074000000e+00,6.216947775790e+00,-3.596780000000e+00
9,360,-3.714390000000e+00,2.922324250000e+00,6.734230984163e+00,-3.714390000000e+00
10,400,-3.724960000000e+00,5.607124000000e+00,6.331505079033e+00,-3.724960000000e+00
11,440,-3.768270000000e+00,6.253952250000e+00,6.082564618777e+00,-3.768270000000e+00
12,480,-3.776000000000e+00,5.232257500000e+00,6.497688487672e+00,-3.776000000000e+00
13,520,-3.801500000000e+00,3.509909500000e+00,6.823479712673e+00,-3.801500000000e+00
14,560,-3.827080000000e+00,4.172361250000e+00,6.839608450564e+00,-3.827080000000e+00
15,600,-3.923210000000e+00,1.042057275000e+01,4.557229790074e+01,-3.923210000000e+00
16,640,-4.003700000000e+00,4.054206000000e+00,6.209247527042e+00,-4.003700000000e+00
17,680,-3.850090000000e+00,3.608468250000e+00,6.310823026917e+00,-4.003700000000e+00
18,720,-3.768270000000e+00,9.833432500000e+00,2.359401529223e+01,-4.003700000000e+00
19,760,-4.229600000000e+00,6.043278250000e+00,1.147314541683e+01,-4.229600000000e+00
20,800,-3.715540000000e+00,7.781246500000e+00,4.722857064304e+00,-4.229600000000e+00
21,840,-3.784890000000e+00,7.179158250000e+00,5.278498316113e+00,-4.229600000000e+00
22,880,-6.049410000000e+00,9.655179000000e+00,1.572302642458e+01,-6.049410000000e+00
23,920,-1.123962000000e+01,2.851009750000e+00,9.251915501026e+00,-1.123962000000e+01
24,960,-5.386670000000e+00,8.646565250000e+00,2.145577299829e+01,-1.123962000000e+01
25,1000,-3.623250000000e+00,4.557342250000e+00,6.719118520040e+00,-1.123962000000e+01
26,1040,-3.889310000000e+00,5.409373750000e+00,9.913419721348e+00,-1.123962000000e+01
27,1080,-3.706490000000e+00,9.155236250000e+00,2.602912290628e+01,-1.123962000000e+01
28,1120,-1.313596000000e+01,6.914712000000e+00,1.961884204348e+01,-1.313596000000e+01
29,1160,-8.800260000000e+00,2.416940500000e+00,6.436022352591e+00,-1.313596000000e+01
30,1200,-3.827650000000e+00,6.814055750000e+00,1.415796193658e+01,-1.313596000000e+01
31,1240,-3.706110000000e+00,3.947035250000e+00,6.344790140565e+00,-1.313596000000e+01
32,1280,-9.553540000000e+00,1.025274400000e+01,2.875829927560e+01,-1.313596000000e+01
33,1320,-1.322387000000e+01,5.452725500000e+00,1.118914488276e+01,-1.322387000000e+01
34,1360,-3.855030000000e+00,9.544406500000e+00,3.076289679807e+01,-1.322387000000e+01
