iter,evals,f_best,f_mean,f_std,gbest_f,x_best
1,40,-2.959690000000e+00,3.038651650000e+01,1.413123446365e+02,-2.959690000000e+00,"[0.17603357583131635, 0.398898079547697, 0.4663584119315826, 0.09431687940457267, 0.33948340755360656, 0.3761324426956986]"
2,80,-2.970770000000e+00,7.378894750000e+00,4.911915976072e+00,-2.970770000000e+00,"[0.24798638777634263, 0.27327301234165857, 0.48463399274724894, 0.06448700446855174, 0.11883149486890202, 0.4408598399705663]"
3,120,-3.256190000000e+00,7.993925750000e+00,1.598176421532e+01,-3.256190000000e+00,"[0.25374574618817763, 0.37127301234165855, 0.5, 0.050598398186233434, 0.18531154992723392, 0.4535689335347463]"
4,160,-3.387500000000e+00,7.880211000000e+00,1.781519735476e+01,-3.387500000000e+00,"[0.25777729707646213, 0.43987301234165854, 0.5, 0.04087637378861062, 0.23184758846806625, 0.4624652990296723]"
5,200,-3.536760000000e+00,5.548441750000e+00,6.519589149141e+00,-3.536760000000e+00,"[0.34057457304635985, 0.5, 0.5, 0.011098409125412722, 0.30484127476306877, 0.4558607361731588]"
6,240,-3.553730000000e+00,5.348763000000e+00,1.936006697508e+01,-3.553730000000e+00,"[0.4108209251659193, 0.5, 0.5, -0.045505707397735906, 0.26455540066469474, 0.48772503669066136]"
7,280,-4.361450000000e+00,4.020175000000e+00,6.635785984188e+00,-4.361450000000e+00,"[0.15512295576074442, 0.47853922013877886, 0.5, 0.08088256426694515, 0.19981623811294408, 0.48451658411829995]"
8,320,-3.616870000000e+00,5.009372500000e+00,6.209781452569e+00,-4.361450000000e+00,"[0.15512295576074442, 0.47853922013877886, 0.5, 0.08088256426694515, 0.19981623811294408, 0.48451658411829995]"
9,360,-3.639570000000e+00,5.860949500000e+00,7.415800346436e+00,-4.361450000000e+00,"[0.15512295576074442, 0.47853922013877886, 0.5, 0.08088256426694515, 0.19981623811294408, 0.48451658411829995]"
10,400,-1.956877000000e+01,5.075969750000e+00,1.131157373489e+01,-1.956877000000e+01,"[0.11775210749218257, 0.3788063206365677, 0.5, 0.10879690240150892, 0.28710602229303517, 0.47043389898216514]"
11,440,-3.523130000000e+00,3.637654000000e+00,6.429264841691e+00,-1.956877000000e+01,"[0.11775210749218257, 0.3788063206365677, 0.5, 0.10879690240150892, 0.28710602229303517, 0.47043389898216514]"
12,480,-9.738658000000e+01,9.740480000000e-01,1.722604646517e+01,-9.738658000000e+01,"[0.1298681012499725, 0.36447781099901017, 0.5, 0.065611699590723, 0.28070642224196185, 0.4556189267326847]"
13,520,-7.221420000000e+00,4.890292500000e+00,1.819882522744e+01,-9.738658000000e+01,"[0.1298681012499725, 0.36447781099901017, 0.5, 0.065611699590723, 0.28070642224196185, 0.4556189267326847]"
14,560,-5.395200000000e+00,8.289232500000e-01,6.040791762408e+00,-9.738658000000e+01,"[0.1298681012499725, 0.36447781099901017, 0.5, 0.065611699590723, 0.28070642224196185, 0.4556189267326847]"
15,600,-3.531450000000e+00,2.078150750000e+00,8.812911710442e+00,-9.738658000000e+01,"[0.1298681012499725, 0.36447781099901017, 0.5, 0.065611699590723, 0.28070642224196185, 0.4556189267326847]"
16,640,-1.801596000000e+01,2.760384500000e+00,7.258496730996e+00,-9.738658000000e+01,"[0.1298681012499725, 0.36447781099901017, 0.5, 0.065611699590723, 0.28070642224196185, 0.4556189267326847]"
17,680,-1.291338000000e+01,2.457654000000e+00,7.028073278685e+00,-9.738658000000e+01,"[0.1298681012499725, 0.36447781099901017, 0.5, 0.065611699590723, 0.28070642224196185, 0.4556189267326847]"
18,720,-1.398608000000e+01,1.114487500000e-01,6.411060112117e+00,-9.738658000000e+01,"[0.1298681012499725, 0.36447781099901017, 0.5, 0.065611699590723, 0.28070642224196185, 0.4556189267326847]"
19,760,-1.758194000000e+01,8.931970000000e-01,6.754772355926e+00,-9.738658000000e+01,"[0.1298681012499725, 0.36447781099901017, 0.5, 0.065611699590723, 0.28070642224196185, 0.4556189267326847]"
20,800,-1.921622000000e+01,1.648491250000e+00,7.373017188146e+00,-9.738658000000e+01,"[0.1298681012499725, 0.36447781099901017, 0.5, 0.065611699590723, 0.28070642224196185, 0.4556189267326847]"
21,840,-4.479895000000e+01,1.781830350000e+01,1.065529566395e+02,-9.738658000000e+01,"[0.1298681012499725, 0.36447781099901017, 0.5, 0.065611699590723, 0.28070642224196185, 0.4556189267326847]"
22,880,-1.051467000000e+02,-3.792282500000e+00,2.234737651850e+01,-1.051467000000e+02,"[0.07930188015199516, 0.3195342686447046, 0.5, 0.048666200112603565, 0.2507657506465746, 0.44832981073514416]"
