iter,evals,f_best,f_mean,f_std,gbest_f
1,40,3.244106483436e+01,1.478715553833e+02,6.607273936371e+01,3.244106483436e+01
2,80,2.505440486549e+01,7.196124696245e+01,3.441760301061e+01,2.505440486549e+01
3,120,3.355052910903e+00,4.364104706081e+01,2.371612100764e+01,3.355052910903e+00
4,160,4.836653923793e+00,2.324913088464e+01,1.556583168081e+01,3.355052910903e+00
5,200,3.265643975323e+00,2.178198428824e+01,1.263521533531e+01,3.265643975323e+00
6,240,3.046711750555e+00,1.670411668781e+01,1.121347256268e+01,3.046711750555e+00
7,280,3.415884710332e+00,1.604439570418e+01,8.746518857343e+00,3.046711750555e+00
8,320,1.732617413277e+00,1.229516571229e+01,7.266683856342e+00,1.732617413277e+00
9,360,2.233024987305e+00,1.107301994928e+01,8.279878956791e+00,1.732617413277e+00
10,400,2.153142498854e+00,9.042913423093e+00,6.270085894556e+00,1.732617413277e+00
11,440,1.138675813348e+00,7.495555701408e+00,4.838834092909e+00,1.138675813348e+00
12,480,9.690379997046e-01,6.354325726039e+00,5.407421821015e+00,9.690379997046e-01
13,520,1.268463168175e+00,6.232339930684e+00,4.841858609928e+00,9.690379997046e-01
14,560,1.609582439413e+00,5.354569925469e+00,5.512786513952e+00,9.690379997046e-01
15,600,9.857038080927e-01,5.028962353902e+00,4.576246824168e+00,9.690379997046e-01
16,640,1.147158552589e+00,4.675013253400e+00,4.256281988130e+00,9.690379997046e-01
17,680,1.142254941901e+00,4.610122295017e+00,3.077104284226e+00,9.690379997046e-01
18,720,1.033528130633e+00,3.912384450552e+00,3.983358558728e+00,9.690379997046e-01
19,760,1.449919424780e+00,4.272658957022e+00,3.739523692439e+00,9.690379997046e-01
20,800,1.193325754999e+00,2.750746671640e+00,1.603879221157e+00,9.690379997046e-01
21,840,9.010381137066e-01,3.549946452022e+00,2.474586810185e+00,9.010381137066e-01
22,880,1.057627007057e+00,2.781240565345e+00,2.147213927200e+00,9.010381137066e-01
23,920,8.458451124786e-01,3.878036705428e+00,3.869743492339e+00,8.458451124786e-01
24,960,9.274465463460e-01,2.491521839316e+00,2.832975688822e+00,8.458451124786e-01
25,1000,7.980666251283e-01,3.402912953318e+00,2.707396220138e+00,7.980666251283e-01
26,1040,2.226389151690e-01,2.827671187188e+00,3.261765492568e+00,2.226389151690e-01
27,1080,9.072656225340e-01,3.072539122457e+00,3.324718822816e+00,2.226389151690e-01
28,1120,9.888016536665e-01,2.769720867920e+00,2.848735521201e+00,2.226389151690e-01
29,1160,4.855897652386e-01,3.303858053229e+00,4.021445516925e+00,2.226389151690e-01
30,1200,8.531299668405e-01,2.743033698506e+00,3.018843462784e+00,2.226389151690e-01
31,1240,6.730500317562e-01,2.520463953308e+00,3.913493295227e+00,2.226389151690e-01
