iter,evals,f_best,f_mean,f_std,gbest_f
1,40,4.216758264594e+01,1.479803028214e+02,5.679132199605e+01,4.216758264594e+01
2,80,1.518909573878e+01,6.252708523582e+01,2.892314404968e+01,1.518909573878e+01
3,120,4.601745141506e+00,2.793209818433e+01,1.616061424487e+01,4.601745141506e+00
4,160,5.201627502206e+00,3.025027613715e+01,1.301619992175e+01,4.601745141506e+00
5,200,2.091764411879e+00,1.619746280780e+01,9.269593811573e+00,2.091764411879e+00
6,240,1.925194210021e+00,1.535595396185e+01,8.223081812927e+00,1.925194210021e+00
7,280,2.539183645284e+00,1.268746473082e+01,8.153862745075e+00,1.925194210021e+00
8,320,2.292650952038e+00,1.143856129178e+01,7.412181664316e+00,1.925194210021e+00
9,360,2.390885469941e+00,1.121937835798e+01,7.530189209908e+00,1.925194210021e+00
10,400,1.713879594087e+00,1.056682502624e+01,5.983081573601e+00,1.713879594087e+00
11,440,1.750336808152e+00,7.379974691736e+00,5.690226164573e+00,1.713879594087e+00
12,480,1.701681654758e+00,8.953391887685e+00,5.902842704955e+00,1.701681654758e+00
13,520,1.838729466150e+00,8.519982790745e+00,5.394783515964e+00,1.701681654758e+00
14,560,1.466746411164e+00,6.995082214162e+00,4.365281209734e+00,1.466746411164e+00
15,600,1.383485257562e+00,5.988711831472e+00,4.664186156625e+00,1.383485257562e+00
16,640,2.114248858229e+00,5.717187877943e+00,2.940605998677e+00,1.383485257562e+00
17,680,1.092146948283e+00,5.182549752476e+00,3.849103817856e+00,1.092146948283e+00
18,720,1.289315282891e+00,5.254616826310e+00,3.347314848631e+00,1.092146948283e+00
19,760,1.204840830709e+00,4.540356335372e+00,3.087492104381e+00,1.092146948283e+00
20,800,1.027621640154e+00,3.219202352517e+00,1.681022834025e+00,1.027621640154e+00
21,840,1.223307365079e+00,3.685537274399e+00,2.042253433388e+00,1.027621640154e+00
22,880,8.531550228547e-01,2.962809545919e+00,1.934383630277e+00,8.531550228547e-01
23,920,9.022988657013e-01,3.809997631119e+00,3.114767071764e+00,8.531550228547e-01
24,960,9.461352272173e-01,3.183207416291e+00,2.206797561039e+00,8.531550228547e-01
